window,date,accuracy,acc_drop,n
1,2017-01-01,0.963,0.0,54
2,2017-01-16,0.714,0.249,77
3,2017-01-31,0.716,0.247,148
4,2017-02-15,0.72,0.243,75
5,2017-04-01,0.667,0.296,66
6,2017-04-16,0.651,0.312,63
7,2017-05-16,0.758,0.205,132
8,2017-05-31,0.728,0.235,162
9,2017-06-15,0.6,0.363,30
10,2017-07-15,0.543,0.42,35
11,2017-07-30,0.605,0.358,86
12,2017-08-14,0.642,0.321,53
13,2017-09-13,0.774,0.189,62
14,2017-09-28,0.742,0.221,66
15,2017-10-28,0.75,0.213,24
16,2017-11-12,0.718,0.245,209
17,2017-11-27,0.71,0.253,221
18,2017-12-12,0.694,0.269,36
19,2018-01-11,0.695,0.268,492
20,2018-01-26,0.695,0.268,491
21,2018-02-25,0.615,0.348,205
22,2018-03-12,0.618,0.345,204
23,2018-03-27,0.706,0.257,269
24,2018-04-11,0.705,0.258,271
25,2018-05-11,0.759,0.204,232
26,2018-05-26,0.759,0.204,232
