window,date,avg_confidence,avg_entropy,centroid_dist,n
1,2017-01-01,0.9958,0.0233,18.8842,2427
2,2017-01-16,0.9488,0.1343,16.8127,1492
3,2017-01-31,0.9437,0.1452,17.7763,3480
4,2017-02-15,0.9425,0.1466,19.1423,2254
5,2017-03-02,0.9743,0.0673,18.4006,716
6,2017-03-17,0.9711,0.0736,17.6659,1515
7,2017-04-01,0.9499,0.1278,18.5495,4647
8,2017-04-16,0.9483,0.1329,19.131,4020
9,2017-05-01,0.9651,0.09,18.8544,389
10,2017-05-16,0.9455,0.1447,19.1424,2102
11,2017-05-31,0.9437,0.1476,18.7917,3192
12,2017-06-15,0.9403,0.1519,19.2657,1202
13,2017-06-30,0.9489,0.1271,18.5659,114
14,2017-07-15,0.9266,0.1787,19.3989,584
15,2017-07-30,0.934,0.1679,18.508,4937
16,2017-08-14,0.9351,0.1662,19.0924,4483
17,2017-08-29,0.925,0.1851,19.2928,141
18,2017-09-13,0.9357,0.1623,19.2756,3957
19,2017-09-28,0.9362,0.1613,18.9817,3954
20,2017-10-13,0.9359,0.1616,19.3883,131
21,2017-10-28,0.9282,0.1729,18.3854,142
22,2017-11-12,0.9416,0.1481,19.2443,3650
23,2017-11-27,0.943,0.145,18.5245,4366
24,2017-12-12,0.949,0.1304,19.2765,822
25,2017-12-27,0.9331,0.1689,19.5016,95
26,2018-01-11,0.939,0.1545,19.3759,4671
27,2018-01-26,0.9395,0.1534,19.3144,4743
28,2018-02-10,0.9298,0.1766,19.0972,349
29,2018-02-25,0.9391,0.1556,19.429,3806
30,2018-03-12,0.9401,0.1535,19.311,3679
31,2018-03-27,0.9414,0.1507,19.75,4074
32,2018-04-11,0.9414,0.1506,19.3779,4044
33,2018-04-26,0.9291,0.1782,19.404,186
34,2018-05-11,0.9383,0.1575,19.4825,4960
35,2018-05-26,0.9383,0.1577,19.3029,4880
36,2018-06-10,0.9319,0.1726,19.6583,3736
37,2018-06-25,0.9324,0.1714,19.6524,3708
