pair,window_start,window_end,next_window_start,wasserstein,kl_divergence,wkcs,baseline_mean,baseline_std,adaptive_threshold,alert,z_score
1,2017-01-01,2017-01-31,2017-01-16,0.2572394631085086,0.6890671784381646,0.429970549240371,0.43,0.0,0.43,False,-29.451
2,2017-01-16,2017-02-15,2017-01-31,0.2552599560870269,0.9796747244097166,0.5450258634161028,0.43,0.0,0.43,True,115025.863
3,2017-01-31,2017-03-02,2017-02-15,0.2542267768923175,0.0326995768369198,0.1656158968701584,0.4875,0.0575,0.6026,False,-5.598
4,2017-02-15,2017-03-17,2017-03-02,0.2646220004640947,0.719658521304312,0.4466366088001816,0.3802,0.1588,0.6979,False,0.418
5,2017-03-02,2017-04-01,2017-03-17,0.2308221507011893,1.543395017153981,0.755851297282306,0.3968,0.1405,0.6779,True,2.556
6,2017-03-17,2017-04-16,2017-04-01,0.2301286539739483,0.8487006952694808,0.4775574704921613,0.4686,0.1909,0.8503,False,0.047
7,2017-04-01,2017-05-01,2017-04-16,0.2304348515819841,0.5799431455692562,0.370238169176893,0.4781,0.1899,0.8579,False,-0.568
8,2017-04-16,2017-05-16,2017-05-01,0.2907308249700954,3.311970680340535,1.4992267671182713,0.4432,0.1904,0.824,True,5.546
9,2017-05-01,2017-05-31,2017-05-16,0.2837770813376837,6.758007630899029,2.8734693011622223,0.7099,0.4156,1.5412,True,5.206
10,2017-05-16,2017-06-15,2017-05-31,0.2144957627199226,1.4690474773230882,0.7163164485611889,1.1953,0.9271,3.0495,False,-0.517
11,2017-05-31,2017-06-30,2017-06-15,0.237267592670659,0.3787084397936744,0.2938439315198652,1.1874,0.931,3.0493,False,-0.96
12,2017-06-15,2017-07-15,2017-06-30,0.3482523341787013,2.3078881006976983,1.1321066407863,1.1506,0.9614,3.0734,False,-0.019
13,2017-06-30,2017-07-30,2017-07-15,0.3155810676933202,1.376814608100828,0.7400744838563234,1.303,0.8828,3.0686,False,-0.638
14,2017-07-15,2017-08-14,2017-07-30,0.2693751660634092,0.1008050338693939,0.2019471131858031,1.1512,0.9011,2.9533,False,-1.053
15,2017-07-30,2017-08-29,2017-08-14,0.2320947634427028,0.0035700419466797,0.1406848748442936,0.6169,0.3368,1.2904,False,-1.414
16,2017-08-14,2017-09-13,2017-08-29,0.3259204756584024,0.7910358668506466,0.5119666321353001,0.5017,0.3788,1.2594,False,0.027
17,2017-08-29,2017-09-28,2017-09-13,0.3439812870771228,1.104597476253652,0.6482277627477345,0.5454,0.3647,1.2747,False,0.282
18,2017-09-13,2017-10-13,2017-09-28,0.2226387780651559,0.1473085850845513,0.1925067008729141,0.4486,0.2385,0.9256,False,-1.074
19,2017-09-28,2017-10-28,2017-10-13,0.3340162393064618,1.757252043010987,0.903310560788272,0.3391,0.2025,0.7441,True,2.786
20,2017-10-13,2017-11-12,2017-10-28,0.3548990946510201,2.1090405331877258,1.0565556700657024,0.4793,0.2851,1.0495,True,2.025
21,2017-10-28,2017-11-27,2017-11-12,0.316242966799462,1.6244785021243189,0.8395371809294049,0.6625,0.3023,1.2672,False,0.586
22,2017-11-12,2017-12-12,2017-11-27,0.2461479940161511,0.0415522791635323,0.1643097080751036,0.728,0.2981,1.3242,False,-1.891
23,2017-11-27,2017-12-27,2017-12-12,0.2582326860771688,0.0606739480725771,0.1792091908753321,0.6312,0.3765,1.3843,False,-1.201
24,2017-12-12,2018-01-11,2017-12-27,0.3491336965808215,4.154394122265437,1.8712378668546676,0.6286,0.3796,1.3879,True,3.274
25,2017-12-27,2018-01-26,2018-01-11,0.3510340656666302,2.3280360722602724,1.141834868304087,0.8222,0.6328,2.0877,False,0.505
26,2018-01-11,2018-02-10,2018-01-26,0.2287137399514314,1.512185155179149,0.7421023060425185,0.8392,0.64,2.1192,False,-0.152
27,2018-01-26,2018-02-25,2018-02-10,0.2720969228638968,0.211301113605135,0.2477785991603921,0.8197,0.6411,2.102,False,-0.892
28,2018-02-10,2018-03-12,2018-02-25,0.2738349337738303,1.4545757994715327,0.7461312800529113,0.8364,0.6247,2.0859,False,-0.144
29,2018-02-25,2018-03-27,2018-03-12,0.2350088236153402,0.057739073995281,0.1641009237673165,0.9498,0.541,2.0318,False,-1.452
30,2018-03-12,2018-04-11,2018-03-27,0.2406699887954913,0.0946234097758475,0.1822513571876338,0.6084,0.3602,1.3289,False,-1.183
31,2018-03-27,2018-04-26,2018-04-11,0.2076953672070415,0.6133347125405082,0.3699511053404282,0.4165,0.269,0.9544,False,-0.173
32,2018-04-11,2018-05-11,2018-04-26,0.3109513410664789,1.0078129159358835,0.5896959710142408,0.342,0.2145,0.7711,False,1.155
33,2018-04-26,2018-05-26,2018-05-11,0.3174009896264028,0.9035417237666182,0.551857283282489,0.4104,0.2277,0.8658,False,0.621
34,2018-05-11,2018-06-10,2018-05-26,0.2364345803058507,0.0024331045886489,0.14283399001897,0.3716,0.1783,0.7282,False,-1.283
35,2018-05-26,2018-06-25,2018-06-10,0.2564594127151646,0.1349686373090389,0.2078631025527143,0.3673,0.1834,0.7341,False,-0.869
36,2018-06-10,2018-07-10,2018-06-25,0.2301896818667626,0.0013389254793273,0.1386493793117885,0.3724,0.1784,0.7293,False,-1.31
