alpha,beta,name,pair,window,wkcs,w2,kl
0.3,0.7,KL-dominant,1,2017-01-01,0.7915,0.25,1.0235
0.3,0.7,KL-dominant,2,2017-01-16,0.775,0.2394,1.0046
0.3,0.7,KL-dominant,3,2017-01-31,0.5577,0.2288,0.6986
0.3,0.7,KL-dominant,4,2017-02-15,1.0845,0.24,1.4464
0.3,0.7,KL-dominant,5,2017-03-02,1.5321,0.2195,2.0946
0.3,0.7,KL-dominant,6,2017-03-17,0.9136,0.2261,1.2082
0.3,0.7,KL-dominant,7,2017-04-01,0.7376,0.2342,0.9533
0.3,0.7,KL-dominant,8,2017-04-16,2.7199,0.2243,3.7894
0.3,0.7,KL-dominant,9,2017-05-01,4.6973,0.2294,6.6121
0.3,0.7,KL-dominant,10,2017-05-16,0.2645,0.2516,0.27
0.3,0.7,KL-dominant,11,2017-05-31,0.2981,0.2418,0.3222
0.3,0.7,KL-dominant,12,2017-06-15,1.5704,0.2516,2.1355
0.3,0.7,KL-dominant,13,2017-06-30,1.0213,0.2701,1.3432
0.3,0.7,KL-dominant,14,2017-07-15,0.6816,0.2293,0.8754
0.3,0.7,KL-dominant,15,2017-07-30,1.7067,0.2453,2.3331
0.3,0.7,KL-dominant,16,2017-08-14,2.1556,0.2644,2.9661
0.3,0.7,KL-dominant,17,2017-08-29,0.6845,0.2491,0.8712
0.3,0.7,KL-dominant,18,2017-09-13,0.6856,0.2335,0.8794
0.3,0.7,KL-dominant,19,2017-09-28,4.165,0.2639,5.8369
0.3,0.7,KL-dominant,20,2017-10-13,1.553,0.2556,2.109
0.3,0.7,KL-dominant,21,2017-10-28,1.267,0.2595,1.6987
0.3,0.7,KL-dominant,22,2017-11-12,0.2901,0.2469,0.3086
0.3,0.7,KL-dominant,23,2017-11-27,0.2068,0.2184,0.2019
0.3,0.7,KL-dominant,24,2017-12-12,2.6779,0.2556,3.716
0.3,0.7,KL-dominant,25,2017-12-27,1.432,0.2854,1.9234
0.3,0.7,KL-dominant,26,2018-01-11,1.8331,0.2395,2.5161
0.3,0.7,KL-dominant,27,2018-01-26,0.5104,0.2302,0.6306
0.3,0.7,KL-dominant,28,2018-02-10,1.2913,0.2197,1.7505
0.3,0.7,KL-dominant,29,2018-02-25,0.641,0.1979,0.8309
0.3,0.7,KL-dominant,30,2018-03-12,0.7881,0.2327,1.0262
0.3,0.7,KL-dominant,31,2018-03-27,0.681,0.2424,0.869
0.3,0.7,KL-dominant,32,2018-04-11,1.8631,0.2476,2.5555
0.3,0.7,KL-dominant,33,2018-04-26,0.6889,0.2663,0.87
0.3,0.7,KL-dominant,34,2018-05-11,0.5491,0.2372,0.6827
0.3,0.7,KL-dominant,35,2018-05-26,1.0374,0.2112,1.3914
0.3,0.7,KL-dominant,36,2018-06-10,0.5109,0.2405,0.6268
0.4,0.6,KL-leaning,1,2017-01-01,1.1754,0.2204,1.8121
